Date,Portfolio Value
2022-02-18,7000.0
2022-02-22,6926.861353729042
2022-02-23,6809.175642557444
2022-02-24,6970.2219981436065
2022-02-25,7063.390253810501
2022-02-28,7120.818535638459
2022-03-01,7075.8130441603735
2022-03-02,7166.681187937137
2022-03-03,7071.889056992973
2022-03-04,7002.380248469626
2022-03-07,6840.572674744435
2022-03-08,6876.517192354875
2022-03-09,7037.452131474078
2022-03-10,7022.352207583404
2022-03-11,6904.94544469546
2022-03-14,6798.877843159633
2022-03-15,6895.843146347279
2022-03-16,7105.000216475048
2022-03-17,7230.573568023614
2022-03-18,7324.90318439209
2022-03-21,7335.849075899946
2022-03-22,7457.378012426472
2022-03-23,7397.4902290288455
2022-03-24,7501.471088831447
2022-03-25,7486.027580772492
2022-03-28,7555.176788833235
2022-03-29,7652.494354229748
2022-03-30,7601.634728196743
2022-03-31,7512.310607705681
2022-04-01,7516.310797137186
2022-04-04,7615.467237679744
2022-04-05,7454.347939759506
2022-04-06,7334.268474656403
2022-04-07,7371.756990577334
2022-04-08,7352.591485265259
2022-04-11,7246.885473557875
2022-04-12,7233.697969028053
2022-04-13,7327.412534788147
2022-04-14,7210.271606249212
2022-04-18,7218.822777472232
2022-04-19,7315.562817861601
2022-04-20,7286.42577805377
2022-04-21,7180.039476971839
2022-04-22,7005.582292582983
2022-04-25,7014.141293415349
2022-04-26,6738.697644727768
2022-04-27,6698.210221835596
2022-04-28,6819.92023555135
2022-04-29,6632.090482618105
2022-05-02,6677.905205890001
2022-05-03,6716.9074689114095
2022-05-04,6910.132929033285
2022-05-05,6654.803204202609
2022-05-06,6589.19298441072
2022-05-09,6258.3588813088845
2022-05-10,6267.835474213394
2022-05-11,6141.6855275586
2022-05-12,6141.333621084846
2022-05-13,6320.814436809484
2022-05-16,6254.92721730962
2022-05-17,6371.908011092598
2022-05-18,6155.259559428418
2022-05-19,6188.421670429254
2022-05-20,6151.6634085237
2022-05-23,6247.977627051951
2022-05-24,6155.854260546825
2022-05-25,6227.781627780474
2022-05-26,6381.802407492487
2022-05-27,6535.153626912739
2022-05-31,6460.419407151467
2022-06-01,6436.289972473541
2022-06-02,6520.047231814564
2022-06-03,6436.278674563704
2022-06-06,6440.60772020556
2022-06-07,6521.275320380928
2022-06-08,6482.362280999213
2022-06-09,6357.370699951117
2022-06-10,6270.882926242599
2022-06-13,6039.647830043268
2022-06-14,6020.3368316104115
2022-06-15,6074.1510173018705
2022-06-16,5933.278736637282
2022-06-17,5901.4655999640545
2022-06-21,6052.470251780859
2022-06-22,6041.835703154966
2022-06-23,6052.619046250373
2022-06-24,6186.254701762117
2022-06-27,6191.40237757359
2022-06-28,6127.752963414006
2022-06-29,6098.927475969759
2022-06-30,6067.455700457729
2022-07-01,6119.291759590784
2022-07-05,6062.976706148005
2022-07-06,6037.955735454345
2022-07-07,6113.099130752496
2022-07-08,6130.186537132635
2022-07-11,6056.254011453981
2022-07-12,6016.217240773112
2022-07-13,6006.59630001706
2022-07-14,5953.143683859476
2022-07-15,6024.349891153559
2022-07-18,5993.22807153244
2022-07-19,6096.693056678678
2022-07-20,6109.741345606858
2022-07-21,6177.638154131406
2022-07-22,6154.5569959346085
2022-07-25,6186.906302873656
2022-07-26,6165.887110723335
2022-07-27,6268.06792741118
2022-07-28,6337.181699701463
2022-07-29,6423.555725354634
2022-08-01,6410.971364451672
2022-08-02,6391.906658296249
2022-08-03,6427.249246141528
2022-08-04,6406.689541700671
2022-08-05,6383.064445655093
2022-08-08,6359.687323814419
2022-08-09,6355.408523699834
2022-08-10,6420.8371222922415
2022-08-11,6416.433273144058
2022-08-12,6525.483805821766
2022-08-15,6521.831846004299
2022-08-16,6528.557073663872
2022-08-17,6499.407023835184
2022-08-18,6506.861696425289
2022-08-19,6448.210239330268
2022-08-22,6355.58851559509
2022-08-23,6385.863855448575
2022-08-24,6417.687921673245
2022-08-25,6475.387631275582
2022-08-26,6330.038020069639
2022-08-29,6313.805322801398
2022-08-30,6228.748931552971
2022-08-31,6166.679464923802
2022-09-01,6162.8193836861055
2022-09-02,6135.976753845549
2022-09-06,6117.854789512243
2022-09-07,6192.663802956248
2022-09-08,6221.027300987944
2022-09-09,6301.881833416105
2022-09-12,6361.252801183848
2022-09-13,6163.974334186238
2022-09-14,6202.573342917016
2022-09-15,6155.4072994256385
2022-09-16,6120.891824449592
2022-09-19,6152.641450977686
2022-09-20,6108.864439585743
2022-09-21,6044.453412705856
2022-09-22,6021.868265971369
2022-09-23,5899.171794680671
2022-09-26,5844.0329907516725
2022-09-27,5858.3335497975295
2022-09-28,5981.851194310559
2022-09-29,5902.243741192954
2022-09-30,5853.520963895347
2022-10-03,5964.338036193019
2022-10-04,6110.24218815397
2022-10-05,6093.321953551132
2022-10-06,6058.193393053994
2022-10-07,5940.505590771827
2022-10-10,5897.061784893996
2022-10-11,5886.568251357938
2022-10-12,5885.31675832713
2022-10-13,6002.235206341759
2022-10-14,5870.296796778019
2022-10-17,5965.137413353639
2022-10-18,6026.913934829811
2022-10-19,6002.535062665788
2022-10-20,5962.603373289948
2022-10-21,6114.719229454671
2022-10-24,6160.344727746547
2022-10-25,6215.049580352528
2022-10-26,6256.243144014075
2022-10-27,6261.278394455107
2022-10-28,6347.31403694982
2022-10-31,6321.634766016249
2022-11-01,6324.234303797819
2022-11-02,6210.527954868653
2022-11-03,6201.884299107547
2022-11-04,6261.652573645219
2022-11-07,6263.2110971244865
2022-11-08,6321.35723222828
2022-11-09,6194.868597887422
2022-11-10,6399.871480097298
2022-11-11,6437.997131664067
2022-11-14,6419.741488730054
2022-11-15,6457.506624173522
2022-11-16,6406.395743398436
2022-11-17,6391.573768764935
2022-11-18,6399.758071308084
2022-11-21,6371.735233241312
2022-11-22,6442.544252788396
2022-11-23,6474.603234064696
2022-11-25,6480.447812792681
2022-11-28,6403.737291441943
2022-11-29,6412.573400715306
2022-11-30,6535.403544346602
2022-12-01,6548.550480733365
2022-12-02,6560.912088382833
2022-12-05,6428.1328850228165
2022-12-06,6376.729021836658
2022-12-07,6391.939095287382
2022-12-08,6393.846039129432
2022-12-09,6331.742269026854
2022-12-12,6376.039205522674
2022-12-13,6389.646090603272
2022-12-14,6360.580424286559
2022-12-15,6256.955418928901
2022-12-16,6222.182497365942
2022-12-19,6194.534835846187
2022-12-20,6227.397669191611
2022-12-21,6301.893830133414
2022-12-22,6209.074520887784
2022-12-23,6255.316868282725
2022-12-27,6248.054718608737
2022-12-28,6198.058957001056
2022-12-29,6264.614126139893
2022-12-30,6272.778072872341
2023-01-03,6210.262694924813
2023-01-04,6260.015946607929
2023-01-05,6230.505952539957
2023-01-06,6335.29934658508
2023-01-09,6300.410744727215
2023-01-10,6344.501772341775
2023-01-11,6393.674554040535
2023-01-12,6426.837213294346
2023-01-13,6455.920916784718
2023-01-17,6447.748492031344
2023-01-18,6356.944395585286
2023-01-19,6352.865789568731
2023-01-20,6396.212976251057
2023-01-23,6444.168606326244
2023-01-24,6454.948583660844
2023-01-25,6482.842007268093
2023-01-26,6525.609779546204
2023-01-27,6522.251606981497
2023-01-30,6451.825687980544
2023-01-31,6528.970128582186
2023-02-01,6553.680623646861
2023-02-02,6495.264603923858
2023-02-03,6423.117655730489
2023-02-06,6436.642492866427
2023-02-07,6487.769050138718
2023-02-08,6468.944393923502
2023-02-09,6440.563731876992
2023-02-10,6491.025609505689
2023-02-13,6514.959868890514
2023-02-14,6578.401107677932
2023-02-15,6582.18417771194
2023-02-16,6512.177044651551
2023-02-17,6493.39900556286
2023-02-21,6409.248089026555
2023-02-22,6395.901944511226
2023-02-23,6403.510361563614
2023-02-24,6367.863315363931
2023-02-27,6390.020440842118
2023-02-28,6355.782399357464
2023-03-01,6371.32832925549
2023-03-02,6392.466214506663
2023-03-03,6473.445005210638
2023-03-06,6473.411091189231
2023-03-07,6378.787296667185
2023-03-08,6348.673087885125
2023-03-09,6299.660432321813
2023-03-10,6281.403088046989
2023-03-13,6300.9354224347035
2023-03-14,6349.938531449493
2023-03-15,6281.800691739767
2023-03-16,6342.126708352718
2023-03-17,6301.967292255682
2023-03-20,6380.151106616284
2023-03-21,6442.70344435435
2023-03-22,6375.994607524574
2023-03-23,6387.373216295009
2023-03-24,6398.442586291767
2023-03-27,6428.200456647868
2023-03-28,6448.274768714247
2023-03-29,6491.5323921727295
2023-03-30,6511.372791070305
2023-03-31,6570.123244746589
2023-04-03,6643.475681978554
2023-04-04,6625.462969179081
2023-04-05,6643.13716250102
2023-04-06,6629.02040404483
2023-04-10,6646.699333658955
2023-04-11,6678.182017196029
2023-04-12,6676.968391250353
2023-04-13,6746.047969605094
2023-04-14,6711.2870839881925
2023-04-17,6714.491870913124
2023-04-18,6728.180156817303
2023-04-19,6689.460342335631
2023-04-20,6656.361413864715
2023-04-21,6640.368635043436
2023-04-24,6668.71051568002
2023-04-25,6620.8421053062775
2023-04-26,6530.3235828497645
2023-04-27,6594.231310268347
2023-04-28,6630.897199977832
2023-05-01,6641.68970488069
2023-05-02,6597.698043348234
2023-05-03,6583.5476586713
2023-05-04,6544.226380976585
2023-05-05,6602.468589593421
2023-05-08,6623.251571147327
2023-05-09,6688.515470561961
2023-05-10,6687.1528862597825
2023-05-11,6660.898490706053
2023-05-12,6642.610060216824
2023-05-15,6669.1001313071865
2023-05-16,6590.614178787084
2023-05-17,6670.44344984865
2023-05-18,6707.380503735104
2023-05-19,6742.370270937188
2023-05-22,6740.793955781652
2023-05-23,6725.620190870922
2023-05-24,6678.033356552074
2023-05-25,6651.238511985807
2023-05-26,6700.469693421
2023-05-30,6747.00845445957
2023-05-31,6725.59817282171
2023-06-01,6790.232876848784
2023-06-02,6828.365531091144
2023-06-05,6849.8966117889695
2023-06-06,6868.997665812997
2023-06-07,6811.58578697501
2023-06-08,6895.471075389547
2023-06-09,6906.60023585361
2023-06-12,6975.864965073529
2023-06-13,7018.131366709957
2023-06-14,7032.392474508129
2023-06-15,7112.8716555573155
2023-06-16,7089.759707704885
2023-06-20,7047.391486118669
2023-06-21,6982.204165231592
2023-06-22,6960.700440420203
2023-06-23,6917.540457171521
2023-06-26,6877.347385777815
2023-06-27,6963.4351695714595
2023-06-28,6994.798705362222
2023-06-29,7014.037583042013
2023-06-30,7096.57220537054
2023-07-03,7107.616586450697
2023-07-05,7103.795502983461
2023-07-06,7027.393897326636
2023-07-07,7033.182872940768
2023-07-10,7113.005285302197
2023-07-11,7141.646482287313
2023-07-12,7212.981941972666
2023-07-13,7243.341243830906
2023-07-14,7219.846708312169
2023-07-17,7297.57965739974
2023-07-18,7369.656051688256
2023-07-19,7346.0242690861605
2023-07-20,7247.905389309208
2023-07-21,7201.520281937846
2023-07-24,7204.746961195373
2023-07-25,7277.508860410613
2023-07-26,7248.414244213669
2023-07-27,7197.15251197767
