Date,Portfolio Value
2022-02-18,8000.0
2022-02-22,7921.091986894091
2022-02-23,7789.401827111958
2022-02-24,7944.005669503081
2022-02-25,8087.932634353083
2022-02-28,8134.20875564654
2022-03-01,8075.755718467691
2022-03-02,8185.800923301915
2022-03-03,8110.732679454366
2022-03-04,8056.930173998291
2022-03-07,7888.2574402740065
2022-03-08,7874.732732293907
2022-03-09,8047.227736819905
2022-03-10,8032.324601035971
2022-03-11,7910.195329195294
2022-03-14,7820.81492424378
2022-03-15,7949.69376585015
2022-03-16,8152.490350847197
2022-03-17,8286.84214882165
2022-03-18,8379.649273174158
2022-03-21,8389.216391448112
2022-03-22,8514.885123887325
2022-03-23,8440.445324733842
2022-03-24,8552.062580794447
2022-03-25,8556.176732873417
2022-03-28,8642.82783556635
2022-03-29,8753.798382808916
2022-03-30,8712.189032503205
2022-03-31,8617.39897399521
2022-04-01,8651.72116840794
2022-04-04,8733.468773717523
2022-04-05,8587.005036754923
2022-04-06,8500.794592395565
2022-04-07,8550.180576176725
2022-04-08,8536.749380400634
2022-04-11,8412.187516847811
2022-04-12,8395.70974424084
2022-04-13,8489.357032198466
2022-04-14,8376.370830636752
2022-04-18,8365.625366160359
2022-04-19,8486.13292927617
2022-04-20,8477.890478368663
2022-04-21,8363.895820403539
2022-04-22,8162.461421738353
2022-04-25,8177.111019646268
2022-04-26,7883.929749189126
2022-04-27,7845.641622619315
2022-04-28,7977.769804973642
2022-04-29,7749.24378245599
2022-05-02,7781.078488403411
2022-05-03,7819.47472783267
2022-05-04,8038.014945300574
2022-05-05,7765.493148146438
2022-05-06,7704.204046189359
2022-05-09,7371.204494538037
2022-05-10,7369.0566073395075
2022-05-11,7244.3624759049535
2022-05-12,7250.2789001162055
2022-05-13,7447.938006239388
2022-05-16,7389.544480717039
2022-05-17,7511.978308948937
2022-05-18,7246.776951670041
2022-05-19,7263.783423752251
2022-05-20,7234.006534170261
2022-05-23,7344.595832436348
2022-05-24,7277.730999411812
2022-05-25,7348.727711327788
2022-05-26,7506.352554957166
2022-05-27,7681.697303079394
2022-05-31,7593.723327018083
2022-06-01,7548.794793362002
2022-06-02,7647.9587428722225
2022-06-03,7552.830121855814
2022-06-06,7561.959137129295
2022-06-07,7648.002911396397
2022-06-08,7586.360238898058
2022-06-09,7429.191885550821
2022-06-10,7321.632386488712
2022-06-13,7048.533976510384
2022-06-14,7007.016015770324
2022-06-15,7067.717373108
2022-06-16,6900.418461595534
2022-06-17,6873.488417751203
2022-06-21,7057.596494506915
2022-06-22,7059.668266785733
2022-06-23,7113.207584451293
2022-06-24,7276.23203135912
2022-06-27,7284.71802363885
2022-06-28,7201.6844722026335
2022-06-29,7179.419546612007
2022-06-30,7157.961422923192
2022-07-01,7240.642214029232
2022-07-05,7171.507137412887
2022-07-06,7163.632728914348
2022-07-07,7241.517504357148
2022-07-08,7255.059490179947
2022-07-11,7182.537070436647
2022-07-12,7136.605408804934
2022-07-13,7118.145344480054
2022-07-14,7071.0295573940675
2022-07-15,7153.771261456645
2022-07-18,7100.638422921973
2022-07-19,7219.664028660414
2022-07-20,7225.215463391696
2022-07-21,7301.522164868922
2022-07-22,7285.791703912874
2022-07-25,7328.34406701964
2022-07-26,7311.207544244164
2022-07-27,7418.122070405489
2022-07-28,7519.981502340262
2022-07-29,7603.433351827947
2022-08-01,7595.8518411177265
2022-08-02,7575.285611832954
2022-08-03,7624.609898933855
2022-08-04,7595.863836777
2022-08-05,7571.318047690371
2022-08-08,7543.507875399426
2022-08-09,7535.812294739068
2022-08-10,7615.916791998764
2022-08-11,7607.129301905931
2022-08-12,7734.5526194773365
2022-08-15,7754.00665443822
2022-08-16,7769.820654380992
2022-08-17,7735.197007876742
2022-08-18,7742.15804148634
2022-08-19,7680.837147369618
2022-08-22,7567.227225757472
2022-08-23,7580.030755478477
2022-08-24,7615.345387822236
2022-08-25,7683.573375582036
2022-08-26,7505.975713938445
2022-08-29,7487.32008737912
2022-08-30,7389.864458428507
2022-08-31,7322.939330524526
2022-09-01,7342.153682982865
2022-09-02,7287.662278770466
2022-09-06,7270.266985564379
2022-09-07,7383.416748529803
2022-09-08,7420.430373535043
2022-09-09,7510.301522607299
2022-09-12,7578.321120040623
2022-09-13,7334.180328324242
2022-09-14,7378.894320544677
2022-09-15,7323.4832059495
2022-09-16,7283.321360868735
2022-09-19,7326.161425378417
2022-09-20,7265.420856330835
2022-09-21,7182.522448242506
2022-09-22,7153.327812105174
2022-09-23,7022.4364824622535
2022-09-26,6956.363575831641
2022-09-27,6946.158995885595
2022-09-28,7081.054699115141
2022-09-29,6962.032287913725
2022-09-30,6889.176029650213
2022-10-03,7018.141928783089
2022-10-04,7187.198323368381
2022-10-05,7152.365743898128
2022-10-06,7081.12114561639
2022-10-07,6937.817379489296
2022-10-10,6902.905588178903
2022-10-11,6898.3501027059365
2022-10-12,6875.1556718867005
2022-10-13,7023.473831353891
2022-10-14,6875.440726990414
2022-10-17,6996.094203863999
2022-10-18,7076.995191955217
2022-10-19,7038.078124757025
2022-10-20,6969.579980357211
2022-10-21,7137.801329658267
2022-10-24,7204.738691773723
2022-10-25,7286.040150668121
2022-10-26,7331.098149306519
2022-10-27,7338.576608459266
2022-10-28,7462.634227543968
2022-10-31,7431.516872991394
2022-11-01,7430.234651821838
2022-11-02,7296.9700760200085
2022-11-03,7288.832758017702
2022-11-04,7346.534732537637
2022-11-07,7343.293854484351
2022-11-08,7399.390542612869
2022-11-09,7262.578412485591
2022-11-10,7509.926301357255
2022-11-11,7534.359222121774
2022-11-14,7500.230116615496
2022-11-15,7550.511635460817
2022-11-16,7509.717452446614
2022-11-17,7482.199615660145
2022-11-18,7517.1775734251105
2022-11-21,7501.065725414465
2022-11-22,7580.661962936089
2022-11-23,7623.614629775234
2022-11-25,7636.519820274182
2022-11-28,7554.340274448851
2022-11-29,7551.199008898787
2022-11-30,7708.751708873611
2022-12-01,7713.431808558154
2022-12-02,7727.154043132711
2022-12-05,7588.366283658791
2022-12-06,7532.852795083731
2022-12-07,7545.21294808413
2022-12-08,7557.886904444858
2022-12-09,7486.97038037628
2022-12-12,7556.6604403749725
2022-12-13,7566.82368120836
2022-12-14,7538.996444059268
2022-12-15,7414.4452681190405
2022-12-16,7353.902519840889
2022-12-19,7319.4555618110735
2022-12-20,7342.618831425212
2022-12-21,7437.721492019927
2022-12-22,7344.642187986027
2022-12-23,7395.998342626839
2022-12-27,7387.8340431355355
2022-12-28,7325.369790165159
2022-12-29,7404.276100302874
2022-12-30,7397.895292525712
2023-01-03,7333.059266589521
2023-01-04,7393.258517710127
2023-01-05,7341.003974714874
2023-01-06,7468.967523165882
2023-01-09,7427.862245876595
2023-01-10,7473.5618945078095
2023-01-11,7535.078348240938
2023-01-12,7550.281557154127
2023-01-13,7575.5390335785005
2023-01-17,7570.189190443612
2023-01-18,7443.066905919184
2023-01-19,7417.893622187019
2023-01-20,7475.231702831016
2023-01-23,7528.769936520883
2023-01-24,7538.30021909161
2023-01-25,7556.880130542491
2023-01-26,7602.244211852795
2023-01-27,7602.537649545111
2023-01-30,7527.959749761609
2023-01-31,7619.539961673447
2023-02-01,7654.429557782713
2023-02-02,7611.602970907362
2023-02-03,7532.690565015952
2023-02-06,7546.273313352359
2023-02-07,7592.411230342804
2023-02-08,7554.617239652775
2023-02-09,7513.5369629839
2023-02-10,7576.92992357315
2023-02-13,7618.624316116918
2023-02-14,7675.803761527528
2023-02-15,7695.333801413328
2023-02-16,7613.152681452035
2023-02-17,7614.035937999845
2023-02-21,7507.025302662517
2023-02-22,7492.831281957371
2023-02-23,7495.278616005209
2023-02-24,7453.78785691653
2023-02-27,7468.159430853394
2023-02-28,7415.62932899855
2023-03-01,7409.80974469859
2023-03-02,7452.802050871209
2023-03-03,7544.786597677889
2023-03-06,7549.328224980859
2023-03-07,7444.065082713624
2023-03-08,7418.17956858098
2023-03-09,7353.560767771623
2023-03-10,7307.650349175468
2023-03-13,7336.749447149285
2023-03-14,7409.180930985447
2023-03-15,7353.723446287891
2023-03-16,7421.198752452673
2023-03-17,7351.457318566074
2023-03-20,7444.710158352266
2023-03-21,7505.475824716785
2023-03-22,7406.454636979539
2023-03-23,7406.231543541602
2023-03-24,7456.57749866442
2023-03-27,7494.825713216921
2023-03-28,7509.286258042301
2023-03-29,7568.199935200066
2023-03-30,7592.33209406164
2023-03-31,7670.276559208897
2023-04-03,7734.222981985683
2023-04-04,7709.649895139781
2023-04-05,7748.537760698691
2023-04-06,7747.03523396225
2023-04-10,7765.326250686356
2023-04-11,7798.6581552507305
2023-04-12,7789.13906477438
2023-04-13,7860.655123780564
2023-04-14,7823.467610969461
2023-04-17,7837.849238670062
2023-04-18,7844.358358376602
2023-04-19,7816.819224746466
2023-04-20,7780.684961052397
2023-04-21,7780.704640026274
2023-04-24,7812.347857431074
2023-04-25,7756.386921241814
2023-04-26,7644.471653866315
2023-04-27,7723.75539178732
2023-04-28,7767.497087691183
2023-05-01,7786.460481584339
2023-05-02,7725.4541974135645
2023-05-03,7702.74878619812
2023-05-04,7660.165763733599
2023-05-05,7736.947310300982
2023-05-08,7753.3390044434955
2023-05-09,7811.468171040715
2023-05-10,7819.713131056168
2023-05-11,7791.992644774166
2023-05-12,7777.736707079068
2023-05-15,7791.646512206593
2023-05-16,7698.967600811258
2023-05-17,7777.913916162038
2023-05-18,7819.945053837145
2023-05-19,7850.159352518681
2023-05-22,7843.603946907033
2023-05-23,7817.503497734056
2023-05-24,7761.182657510402
2023-05-25,7727.169144247676
2023-05-26,7779.310888722829
2023-05-30,7814.587343087241
2023-05-31,7805.137430307479
2023-06-01,7864.641432479217
2023-06-02,7931.982101555972
2023-06-05,7953.686773313321
2023-06-06,7968.006915018954
2023-06-07,7925.095840671987
2023-06-08,8011.327045139573
2023-06-09,8019.157621559516
2023-06-12,8087.616320041904
2023-06-13,8137.040991966902
2023-06-14,8144.432739963496
2023-06-15,8240.167812385926
2023-06-16,8224.386567729129
2023-06-20,8173.974881536757
2023-06-21,8114.992266018805
2023-06-22,8099.042501664551
2023-06-23,8040.109535291795
2023-06-26,8004.130184352206
2023-06-27,8091.31585549319
2023-06-28,8111.355557793576
2023-06-29,8133.292255276096
2023-06-30,8229.071957024244
2023-07-03,8247.750669708954
2023-07-05,8253.970100764736
2023-07-06,8165.640713902172
2023-07-07,8150.096785989712
2023-07-10,8229.940322012111
2023-07-11,8265.502504232314
2023-07-12,8335.294435654985
2023-07-13,8369.116188335829
2023-07-14,8352.993191075697
2023-07-17,8420.37291556504
2023-07-18,8482.68030737482
2023-07-19,8474.827129791789
2023-07-20,8406.752482521646
2023-07-21,8379.053574119253
2023-07-24,8384.088061499773
2023-07-25,8454.715161026892
2023-07-26,8424.320889039493
2023-07-27,8357.060143989935
2023-07-28,8473.762570439356
2023-07-31,8552.250354612133
2023-08-01,8519.70839455986
2023-08-02,8406.077934446104
2023-08-03,8388.137274343597
2023-08-04,8345.369674254793
2023-08-07,8413.938794992959
2023-08-08,8360.124473156931
2023-08-09,8237.836246331468
2023-08-10,8251.2376061346
2023-08-11,8248.773337853423
2023-08-14,8291.715817649369
2023-08-15,8211.155727040614
2023-08-16,8160.432719588495
2023-08-17,8031.513955272459
2023-08-18,8053.797850670921
2023-08-21,8110.284100834105
2023-08-22,8099.625730139606
2023-08-23,8202.954233326996
2023-08-24,8069.400746059391
2023-08-25,8133.71133914732
2023-08-28,8184.00277079282
2023-08-29,8322.842556267176
2023-08-30,8366.312048901815
2023-08-31,8301.942033932812
2023-09-01,8286.623793079074
2023-09-05,8247.366484613876
2023-09-06,8226.55064058922
2023-09-07,8222.263209454932
2023-09-08,8227.563964312849
2023-09-11,8335.75125442615
2023-09-12,8288.783683977375
2023-09-13,8295.628138358785
2023-09-14,8369.734855624049
2023-09-15,8279.73747429585
2023-09-18,8291.676344780479
2023-09-19,8269.890861771186
2023-09-20,8205.971979049398
2023-09-21,8067.806843557387
2023-09-22,8047.888973576503
2023-09-25,8062.821057261099
2023-09-26,7964.3883170434465
2023-09-27,7969.825523557085
2023-09-28,8030.086633927507
2023-09-29,7996.604114003532
2023-10-02,7938.708864575985
2023-10-03,7826.0730437110915
2023-10-04,7914.591878895846
2023-10-05,7898.064539090343
2023-10-06,8006.408615770608
2023-10-09,8079.274607513383
2023-10-10,8138.780455680784
2023-10-11,8172.849451899366
2023-10-12,8104.84896034463
2023-10-13,8086.978368208605
2023-10-16,8142.545894807492
2023-10-17,8165.799423202574
2023-10-18,8070.006430893346
2023-10-19,8001.7237910392
2023-10-20,7904.661891402458
2023-10-23,7908.385019283575
2023-10-24,8025.314869352534
2023-10-25,7924.623873706793
2023-10-26,7836.612384132986
2023-10-27,7791.065794539406
2023-10-30,7834.745782795403
2023-10-31,7860.290741918249
2023-11-01,7918.334170116487
2023-11-02,8149.760635143846
2023-11-03,8244.258523648688
2023-11-06,8252.324229245804
2023-11-07,8262.654619145158
2023-11-08,8257.866311192873
2023-11-09,8194.099431052438
2023-11-10,8322.661430277134
2023-11-13,8352.098126185818
2023-11-14,8496.150395673823
2023-11-15,8483.249160216343
2023-11-16,8504.04812039677
2023-11-17,8542.559873079015
2023-11-20,8613.13376321225
2023-11-21,8569.149908642565
2023-11-22,8567.638378411948
2023-11-24,8567.534874534575
2023-11-27,8556.497572825854
2023-11-28,8589.706618076723
2023-11-29,8578.429026627262
2023-11-30,8606.852972632836
2023-12-01,8657.341325102716
2023-12-04,8519.09623020578
2023-12-05,8493.829004123341
2023-12-06,8425.494632154647
2023-12-07,8483.532772510154
2023-12-08,8521.18798328023
2023-12-11,8558.102657477242
2023-12-12,8593.552564253672
2023-12-13,8700.642325660368
2023-12-14,8691.132879946786
2023-12-15,8689.676972597079
2023-12-18,8732.542551295186
2023-12-19,8797.207460453275
2023-12-20,8635.346860376254
2023-12-21,8746.683641365991
2023-12-22,8754.633200699804
2023-12-26,8812.508327263295
2023-12-27,8835.444565477183
2023-12-28,8826.494582165453
2023-12-29,8784.335757784553
2024-01-02,8717.640171152096
2024-01-03,8636.483413074384
2024-01-04,8632.684175722541
2024-01-05,8641.31552070946
2024-01-08,8774.364333547677
2024-01-09,8767.003241712086
2024-01-10,8820.49617574654
2024-01-11,8808.887674456508
2024-01-12,8824.062402905285
2024-01-16,8787.907696878678
2024-01-17,8722.87146945217
2024-01-18,8781.865276988
2024-01-19,8889.80110739892
2024-01-22,8927.654364556616
2024-01-23,8930.869755517157
2024-01-24,8919.058522393614
2024-01-25,8926.877117287313
2024-01-26,8925.878722809839
2024-01-29,9023.025675012237
2024-01-30,9030.271698676679
2024-01-31,8908.149064991743
2024-02-01,9050.095292448434
2024-02-02,9162.777842329218
2024-02-05,9136.585751498578
2024-02-06,9331.948145069367
2024-02-07,9471.413462673747
2024-02-08,9522.750777042535
2024-02-09,9571.950417339282
2024-02-12,9579.901431632232
2024-02-13,9457.146812410447
2024-02-14,9626.30152458082
2024-02-15,9702.208875691213
2024-02-16,9640.043214748375
2024-02-20,9552.030999851198
2024-02-21,9509.587513148395
2024-02-22,9728.655354522718
2024-02-23,9718.593191240434
2024-02-26,9741.417553311792
2024-02-27,9783.915022390705
2024-02-28,9790.304762811373
2024-02-29,9861.483151483775
2024-03-01,9984.14974310263
2024-03-04,9997.814445927861
2024-03-05,9883.433123905148
2024-03-06,10041.910226893677
2024-03-07,10181.505148738966
2024-03-08,10093.832611449165
2024-03-11,10017.69261183903
2024-03-12,10076.937354714957
2024-03-13,10085.077198642772
2024-03-14,9992.512382999694
2024-03-15,9910.951900545115
2024-03-18,9990.099782523002
2024-03-19,10033.490380826424
2024-03-20,10142.816975089765
2024-03-21,10191.227328181356
2024-03-22,10153.30743828499
2024-03-25,10154.337766977771
2024-03-26,10163.057430465387
2024-03-27,10237.360270102177
2024-03-28,10167.920086827797
2024-04-01,10162.467848748982
2024-04-02,10095.301424229514
2024-04-03,10198.678983645372
2024-04-04,10097.390084740266
2024-04-05,10276.724306155817
2024-04-08,10286.921050864003
2024-04-09,10257.465112566997
2024-04-10,10193.732864719275
2024-04-11,10281.67062617869
2024-04-12,10131.641508005303
2024-04-15,10019.737274134251
2024-04-16,10043.850621887643
2024-04-17,9963.412051247236
2024-04-18,9918.156959157444
2024-04-19,9781.790628721907
2024-04-22,9839.125227014234
2024-04-23,10049.071060796237
2024-04-24,10032.996656419386
2024-04-25,10046.703421932427
2024-04-26,10123.096980241171
2024-04-29,10198.03871933639
2024-04-30,10034.412086605695
2024-05-01,9998.538520425318
2024-05-02,10088.292775644963
2024-05-03,10204.730982705085
2024-05-06,10413.08457988436
2024-05-07,10285.202345433938
2024-05-08,10292.759395410832
2024-05-09,10318.28804507465
2024-05-10,10290.314862932153
2024-05-13,10242.542023755916
2024-05-14,10311.042348840967
2024-05-15,10475.391352279135
2024-05-16,10425.614490986809
2024-05-17,10445.007423035595
2024-05-20,10461.411757201962
2024-05-21,10489.402912343048
2024-05-22,10435.098599331364
2024-05-23,10375.391701706521
2024-05-24,10463.171943062245
2024-05-28,10481.261084077378
2024-05-29,10376.028473114038
2024-05-30,10357.296877310731
2024-05-31,10393.687103780125
2024-06-03,10350.81015098269
2024-06-04,10352.83329893371
2024-06-05,10501.429663098781
2024-06-06,10508.798967413168
2024-06-07,10449.59365195592
2024-06-10,10509.307203315022
2024-06-11,10496.295218473948
2024-06-12,10547.068236622243
2024-06-13,10525.800525017898
2024-06-14,10547.464695646902
2024-06-17,10722.293682143538
2024-06-18,10800.700259496953
2024-06-20,10771.345809790942
2024-06-21,10647.62973464111
2024-06-24,10613.437337346342
2024-06-25,10644.857668291952
2024-06-26,10618.339910764118
2024-06-27,10685.114177478494
2024-06-28,10660.239601520196
2024-07-01,10692.067357474329
2024-07-02,10772.027171808719
2024-07-03,10853.899230274463
2024-07-05,10943.065331781103
2024-07-08,10985.117906637743
2024-07-09,10999.711197852286
2024-07-10,11118.52126300396
2024-07-11,11017.558122553348
2024-07-12,11056.448591371081
2024-07-15,11104.23987815187
2024-07-16,11211.157775481615
2024-07-17,10982.528014855105
2024-07-18,10946.843508124033
2024-07-19,10875.967336189437
2024-07-22,10999.901184488266
2024-07-23,11069.116446819125
2024-07-24,10723.452073756736
2024-07-25,10666.776764823808
2024-07-26,10815.96955951931
2024-07-29,10816.819729271796
2024-07-30,10723.517160141051
2024-07-31,10938.978455719456
2024-08-01,10781.512522938308
2024-08-02,10505.762934064875
2024-08-05,10277.407168575259
2024-08-06,10479.147985123613
2024-08-07,10408.330735498006
2024-08-08,10752.690837975615
2024-08-09,10841.939460324316
2024-08-12,10839.490369516827
2024-08-13,11006.594952610592
2024-08-14,11058.749117168278
2024-08-15,11218.140457593894
2024-08-16,11283.534713780036
2024-08-19,11385.598824455552
2024-08-20,11369.431144391405
2024-08-21,11420.691884815264
2024-08-22,11316.99717196191
2024-08-23,11407.659404330574
2024-08-26,11338.059348470855
2024-08-27,11352.815703715107
2024-08-28,11288.536041211622
2024-08-29,11329.81577565123
2024-08-30,11445.680987514854
2024-09-03,11196.37822154651
2024-09-04,11231.987824350625
2024-09-05,11169.147254744848
2024-09-06,11003.98243766259
2024-09-09,11291.812599753644
2024-09-10,11342.135940989268
2024-09-11,11396.59714447302
2024-09-12,11514.777593157349
2024-09-13,11664.641938012677
2024-09-16,11737.864947554219
2024-09-17,11719.116826799289
2024-09-18,11701.29686145682
2024-09-19,11867.271165517614
2024-09-20,11942.990807930366
2024-09-23,12034.801068785648
2024-09-24,12025.974708175057
2024-09-25,12037.64196695976
2024-09-26,12014.853505619125
2024-09-27,11988.134872310116
2024-09-30,12047.25334953602
2024-10-01,11985.041784338324
2024-10-02,12015.18892967411
2024-10-03,12020.86997197447
2024-10-04,12138.706855797647
2024-10-07,11998.228017364389
2024-10-08,12151.511811959579
2024-10-09,12258.56831148931
2024-10-10,12240.817325152746
2024-10-11,12324.191023898444
2024-10-14,12386.039684144527
2024-10-15,12298.155071971309
2024-10-16,12363.880583171327
2024-10-17,12363.479506155785
2024-10-18,12437.009480622299
2024-10-21,12403.578097544461
2024-10-22,12285.688596693957
2024-10-23,12276.574515824097
2024-10-24,12344.278084350102
2024-10-25,12347.277868723375
2024-10-28,12347.71450635944
2024-10-29,12316.286768212083
2024-10-30,12246.280978457142
2024-10-31,12050.068508700038
2024-11-01,12026.554537289907
2024-11-04,11970.827532313437
2024-11-05,12470.19583543524
2024-11-06,12799.319545780356
2024-11-07,12853.54307511809
2024-11-08,13124.318620754033
2024-11-11,13193.704012990696
2024-11-12,13079.900091560568
2024-11-13,13094.458822518052
2024-11-14,12903.710925604917
2024-11-15,13109.026908188558
2024-11-18,13038.021709991577
2024-11-19,13161.745107160084
2024-11-20,13156.711285818184
2024-11-21,13227.089343815836
2024-11-22,13425.830218374538
2024-11-25,13373.238722998725
2024-11-26,13510.044373536539
2024-11-27,13474.678948047302
2024-11-29,13587.752985175595
2024-12-02,13486.054971162857
2024-12-03,13639.12604484572
2024-12-04,13654.65012414356
2024-12-05,13664.495018241952
2024-12-06,13878.500992300871
2024-12-09,13595.012799029664
2024-12-10,13520.46340949253
2024-12-11,13643.270873110949
2024-12-12,13567.727654654958
2024-12-13,13744.626407465645
2024-12-16,13793.358408867602
2024-12-17,13695.88801392503
2024-12-18,13241.362516454055
2024-12-19,13366.561147958611
2024-12-20,13728.410150969807
2024-12-23,13767.745904477995
2024-12-24,13975.744619915804
2024-12-26,13978.17833497286
2024-12-27,13741.295079323256
2024-12-30,13550.487317067022
2024-12-31,13454.94683818163
2025-01-02,13460.488113054824
2025-01-03,13781.506267490338
2025-01-06,13636.157258778972
2025-01-07,13334.280613331395
2025-01-08,13310.850215796741
2025-01-10,13184.862687572886
2025-01-13,13097.973666959466
2025-01-14,13228.124859666286
2025-01-15,13504.024219360874
2025-01-16,13596.694873186983
2025-01-17,13797.778632214953
2025-01-21,14002.990829904502
2025-01-22,14136.342915095454
2025-01-23,14349.43242740458
2025-01-24,14321.467883761537
2025-01-27,13970.892771952971
2025-01-28,14178.613629754764
2025-01-29,14174.962866825746
2025-01-30,14434.352540554384
2025-01-31,14438.456885716045
2025-02-03,14472.991442510698
2025-02-04,15234.57842923964
2025-02-05,15260.169725931342
2025-02-06,15677.33625271811
2025-02-07,15598.333449442687
2025-02-10,15880.116607173977
2025-02-11,15709.830625159912
2025-02-12,15888.713690672528
2025-02-13,16015.71377307497
2025-02-14,16031.27582467771
